symbol,n,total_pnl,avg_pnl,win_rate
ENRIN,6,0.7715033657442228,0.1285838942907038,33.33333333333333
FINCABLES,19,0.7488037970212662,0.03941072615901401,31.57894736842105
BEL,9,0.7216269407391391,0.08018077119323769,33.33333333333333
GALLANTT,70,0.6888010300729615,0.00984001471532802,27.142857142857142
CIEINDIA,10,0.6763196732056289,0.0676319673205629,30.0
JSL,5,0.6035226013056003,0.12070452026112007,40.0
HONAUT,7,0.5000000000000608,0.07142857142858013,28.57142857142857
NIVABUPA,19,0.5000000000000361,0.02631578947368611,26.31578947368421
JINDALSAW,7,0.5000000000000161,0.07142857142857373,28.57142857142857
JKCEMENT,3,0.500000000000016,0.166666666666672,33.33333333333333
J&KBANK,11,0.5000000000000114,0.0454545454545465,27.27272727272727
CHOLAFIN,3,0.5000000000000075,0.16666666666666918,33.33333333333333
GLAND,8,0.5000000000000062,0.06250000000000078,25.0
LAURUSLABS,3,0.499999999999999,0.16666666666666632,33.33333333333333
BANKBARODA,3,0.4999999999999927,0.16666666666666421,33.33333333333333
AUROPHARMA,3,0.49999999999998745,0.1666666666666625,33.33333333333333
ASHOKLEY,3,0.49999999999998357,0.1666666666666612,33.33333333333333
SHRIRAMFIN,3,0.4999999999999831,0.16666666666666105,33.33333333333333
BANDHANBNK,3,0.49999999999998224,0.16666666666666075,33.33333333333333
PATANJALI,11,0.49999999999998157,0.04545454545454378,27.27272727272727
CANFINHOME,3,0.499999999999976,0.16666666666665866,33.33333333333333
ANTHEM,4,0.42418498862775045,0.10604624715693761,25.0
SBFC,9,0.36952814098922193,0.04105868233213577,33.33333333333333
NATIONALUM,4,0.36107602930033633,0.09026900732508408,25.0
LODHA,9,0.3480325922286647,0.03867028802540719,33.33333333333333
THERMAX,21,0.267231239708398,0.012725297128971334,28.57142857142857
AARTIIND,5,0.24509803921568485,0.04901960784313697,40.0
IGIL,41,0.14622562245287474,0.003566478596411579,26.82926829268293
INTELLECT,23,0.12862424596245142,0.005592358520106583,26.08695652173913
SCI,31,0.12667948063372184,0.004086434859152317,32.25806451612903
LTF,2,0.08315183025364026,0.04157591512682013,50.0
LEMONTREE,6,0.008244193605612793,0.0013740322676021322,33.33333333333333
TBOTEK,24,0.0001368232253466939,5.700967722778912e-06,33.33333333333333
AMBER,60,1.8274270985330077e-13,3.045711830888346e-15,25.0
GILLETTE,12,1.5015766408055242e-13,1.2513138673379368e-14,25.0
KIRLOSENG,32,8.282263763703668e-14,2.588207426157396e-15,25.0
PIRAMALFIN,8,6.961098364399732e-14,8.701372955499664e-15,25.0
COROMANDEL,8,6.350475700855895e-14,7.93809462606987e-15,25.0
ARE&M,8,5.3512749786932545e-14,6.689093723366568e-15,25.0
ACC,4,3.524958103184872e-14,8.81239525796218e-15,25.0
AIAENG,4,3.419486915845482e-14,8.548717289613705e-15,25.0
MPHASIS,4,2.9753977059954195e-14,7.438494264988549e-15,25.0
KPIL,8,2.3037127760971998e-14,2.8796409701214998e-15,25.0
VBL,8,2.2093438190040615e-14,2.761679773755077e-15,25.0
HUDCO,16,1.815214645262131e-14,1.1345091532888318e-15,25.0
OIL,4,4.884981308350689e-15,1.2212453270876722e-15,25.0
COFORGE,1,0.0,0.0,0.0
MFSL,4,-1.687538997430238e-14,-4.218847493575595e-15,25.0
